Season,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2006-2007,Round of 16,Wed,2007-03-07,,Manchester Utd,1–0,Lille,,Old Trafford,Medina Cantalejo,Match Report,Leg 2 of 2; Manchester Utd won
2006-2007,Round of 16,Wed,2007-03-07,,Arsenal,1–1,nlPSV Eindhoven,,Arsenal Stadium,Alain Hamer,Match Report,Leg 2 of 2; PSV Eindhoven won
2006-2007,Round of 16,Wed,2007-03-07,,Bayern Munich,2–1,Real Madrid,,Fußball Arena München,Ľuboš Michel,Match Report,Leg 2 of 2; Bayern Munich won
2006-2007,Round of 16,Wed,2007-03-07,,Milan,1–0,sctCeltic,,Stadio Giuseppe Meazza,Konrad Plautz,Match Report,Leg 2 of 2; Milan won; Required Extra Time
2006-2007,Quarter-finals,Tue,2007-04-03,,Milan,2–2,Bayern Munich,,Stadio Giuseppe Meazza,Iouri Baskakov,Match Report,Leg 1 of 2
2006-2007,Quarter-finals,Tue,2007-04-03,,PSV Eindhovennl,0–3,Liverpool,,PSV Stadion,Bertrand Layec,Match Report,Leg 1 of 2
2006-2007,Quarter-finals,Wed,2007-04-04,,Chelsea,1–1,Valencia,,Stamford Bridge,Frank de Bleeckere,Match Report,Leg 1 of 2
2006-2007,Quarter-finals,Wed,2007-04-04,,Roma,2–1,Manchester Utd,,Stadio Olimpico,Herbert Fandel,Match Report,Leg 1 of 2
2006-2007,Quarter-finals,Tue,2007-04-10,,Manchester Utd,7–1,Roma,,Old Trafford,Ľuboš Michel,Match Report,Leg 2 of 2; Manchester Utd won
2006-2007,Quarter-finals,Tue,2007-04-10,,Valencia,1–2,Chelsea,,Estadi de Mestalla,Kyros Vassaras,Match Report,Leg 2 of 2; Chelsea won
2006-2007,Quarter-finals,Wed,2007-04-11,,Bayern Munich,0–2,Milan,,Fußball Arena München,Mejuto González,Match Report,Leg 2 of 2; Milan won
2006-2007,Quarter-finals,Wed,2007-04-11,,Liverpool,1–0,nlPSV Eindhoven,,Anfield,Roberto Rosetti,Match Report,Leg 2 of 2; Liverpool won
2006-2007,Semi-finals,Tue,2007-04-24,,Manchester Utd,3–2,Milan,,Old Trafford,Kyros Vassaras,Match Report,Leg 1 of 2
