Season,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2015-2016,Quarter-finals,Wed,2016-04-06,20:45,Paris S-G,2–2,Manchester City,"47,228",Parc des Princes,Milorad Mažić,Match Report,Leg 1 of 2
2015-2016,Quarter-finals,Wed,2016-04-06,20:45,Wolfsburg,2–0,Real Madrid,"26,400",Volkswagen Arena,Gianluca Rocchi,Match Report,Leg 1 of 2
2015-2016,Quarter-finals,Tue,2016-04-12,19:45,Manchester City,1–0,Paris S-G,"53,039",Etihad Stadium,Carlos Velasco,Match Report,Leg 2 of 2; Manchester City won
2015-2016,Quarter-finals,Tue,2016-04-12,20:45,Real Madrid,3–0,Wolfsburg,"76,684",Estadio Santiago Bernabéu,Viktor Kassai,Match Report,Leg 2 of 2; Real Madrid won
2015-2016,Quarter-finals,Wed,2016-04-13,19:45,Benfica,2–2,Bayern Munich,"63,235",Estádio do Sport Lisboa e Benfica,Björn Kuipers,Match Report,Leg 2 of 2; Bayern Munich won
2015-2016,Quarter-finals,Wed,2016-04-13,20:45,Atlético Madrid,2–0,Barcelona,"52,851",Estadio Vicente Calderón,Nicola Rizzoli,Match Report,Leg 2 of 2; Atlético Madrid won
2015-2016,Semi-finals,Tue,2016-04-26,19:45,Manchester City,0–0,Real Madrid,"52,221",Etihad Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
2015-2016,Semi-finals,Wed,2016-04-27,20:45,Atlético Madrid,1–0,Bayern Munich,"52,127",Estadio Vicente Calderón,Mark Clattenburg,Match Report,Leg 1 of 2
2015-2016,Semi-finals,Tue,2016-05-03,20:45,Bayern Munich,2–1,Atlético Madrid,"70,000",Allianz Arena,Cüneyt Çakιr,Match Report,Leg 2 of 2; Atlético Madrid won
2015-2016,Semi-finals,Wed,2016-05-04,20:45,Real Madrid,1–0,Manchester City,"78,300",Estadio Santiago Bernabéu,Damir Skomina,Match Report,Leg 2 of 2; Real Madrid won
2015-2016,Final,Sat,2016-05-28,20:45,Real Madrid,(5)1–1(3),Atlético Madrid,"71,942",Stadio Giuseppe Meazza (Neutral Site),Mark Clattenburg,Match Report,Real Madrid won on penalty kicks following extra time
2016-2017,Round of 16,Tue,2017-02-14,19:45,Benfica,1–0,Dortmund,"55,124",Estádio do Sport Lisboa e Benfica,Nicola Rizzoli,Match Report,Leg 1 of 2
2016-2017,Round of 16,Tue,2017-02-14,20:45,Paris S-G,4–0,Barcelona,"46,484",Parc des Princes,Szymon Marciniak,Match Report,Leg 1 of 2
2016-2017,Round of 16,Wed,2017-02-15,20:45,Bayern Munich,5–1,Arsenal,"70,000",Allianz Arena,Milorad Mažić,Match Report,Leg 1 of 2
2016-2017,Round of 16,Wed,2017-02-15,20:45,Real Madrid,3–1,Napoli,"78,000",Estadio Santiago Bernabéu,Damir Skomina,Match Report,Leg 1 of 2
2016-2017,Round of 16,Tue,2017-02-21,19:45,Manchester City,5–3,Monaco,"53,351",Etihad Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2016-2017,Round of 16,Tue,2017-02-21,20:45,Leverkusen,2–4,Atlético Madrid,"29,300",BayArena,William Collum,Match Report,Leg 1 of 2
2016-2017,Round of 16,Wed,2017-02-22,19:45,Porto,0–2,Juventus,"49,229",Estádio Do Dragão,Felix Brych,Match Report,Leg 1 of 2
2016-2017,Round of 16,Wed,2017-02-22,20:45,Sevilla,2–1,Leicester City,"38,834",Estadio Ramón Sánchez Pizjuán,Clément Turpin,Match Report,Leg 1 of 2
2016-2017,Round of 16,Tue,2017-03-07,19:45,Arsenal,1–5,Bayern Munich,"59,911",Emirates Stadium,Tasos Sidiropoulos,Match Report,Leg 2 of 2; Bayern Munich won
2016-2017,Round of 16,Tue,2017-03-07,20:45,Napoli,1–3,Real Madrid,"56,695",Stadio San Paolo,Cüneyt Çakιr,Match Report,Leg 2 of 2; Real Madrid won
2016-2017,Round of 16,Wed,2017-03-08,20:45,Dortmund,4–0,Benfica,"65,849",Signal Iduna Park,Martin Atkinson,Match Report,Leg 2 of 2; Dortmund won
2016-2017,Round of 16,Wed,2017-03-08,20:45,Barcelona,6–1,Paris S-G,"96,290",Camp Nou,Deniz Aytekin,Match Report,Leg 2 of 2; Barcelona won
2016-2017,Round of 16,Tue,2017-03-14,19:45,Leicester City,2–0,Sevilla,"31,520",King Power Stadium,Daniele Orsato,Match Report,Leg 2 of 2; Leicester City won
2016-2017,Round of 16,Tue,2017-03-14,20:45,Juventus,1–0,Porto,"41,161",Allianz Stadium,Ovidiu Hațegan,Match Report,Leg 2 of 2; Juventus won
2016-2017,Round of 16,Wed,2017-03-15,20:45,Atlético Madrid,0–0,Leverkusen,"49,133",Estadio Vicente Calderón,Sergey Karasev,Match Report,Leg 2 of 2; Atlético Madrid won
2016-2017,Round of 16,Wed,2017-03-15,20:45,Monaco,3–1,Manchester City,"15,700",Stade Louis II.,Gianluca Rocchi,Match Report,Leg 2 of 2; Monaco won
2016-2017,Quarter-finals,Tue,2017-04-11,20:45,Juventus,3–0,Barcelona,"41,092",Allianz Stadium,Szymon Marciniak,Match Report,Leg 1 of 2
2016-2017,Quarter-finals,Wed,2017-04-12,18:45,Dortmund,2–3,Monaco,"65,849",Signal Iduna Park,Daniele Orsato,Match Report,Leg 1 of 2
2016-2017,Quarter-finals,Wed,2017-04-12,20:45,Atlético Madrid,1–0,Leicester City,"51,423",Estadio Vicente Calderón,Jonas Eriksson,Match Report,Leg 1 of 2
2016-2017,Quarter-finals,Wed,2017-04-12,20:45,Bayern Munich,1–2,Real Madrid,"70,000",Allianz Arena,Nicola Rizzoli,Match Report,Leg 1 of 2
2016-2017,Quarter-finals,Tue,2017-04-18,19:45,Leicester City,1–1,Atlético Madrid,"31,548",King Power Stadium,Gianluca Rocchi,Match Report,Leg 2 of 2; Atlético Madrid won
2016-2017,Quarter-finals,Tue,2017-04-18,20:45,Real Madrid,4–2,Bayern Munich,"78,346",Estadio Santiago Bernabéu,Viktor Kassai,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2016-2017,Quarter-finals,Wed,2017-04-19,20:45,Monaco,3–1,Dortmund,"17,135",Stade Louis II.,Damir Skomina,Match Report,Leg 2 of 2; Monaco won
2016-2017,Quarter-finals,Wed,2017-04-19,20:45,Barcelona,0–0,Juventus,"96,290",Camp Nou,Björn Kuipers,Match Report,Leg 2 of 2; Juventus won
2016-2017,Semi-finals,Tue,2017-05-02,20:45,Real Madrid,3–0,Atlético Madrid,"77,609",Estadio Santiago Bernabéu,Martin Atkinson,Match Report,Leg 1 of 2
2016-2017,Semi-finals,Wed,2017-05-03,20:45,Monaco,0–2,Juventus,"16,762",Stade Louis II.,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2016-2017,Semi-finals,Tue,2017-05-09,20:45,Juventus,2–1,Monaco,"40,244",Allianz Stadium,Björn Kuipers,Match Report,Leg 2 of 2; Juventus won
2016-2017,Semi-finals,Wed,2017-05-10,20:45,Atlético Madrid,2–1,Real Madrid,"53,422",Estadio Vicente Calderón,Cüneyt Çakιr,Match Report,Leg 2 of 2; Real Madrid won
2016-2017,Final,Sat,2017-06-03,19:45,Juventus,1–4,Real Madrid,"65,842",National Stadium (Neutral Site),Felix Brych,Match Report,
2017-2018,Round of 16,Tue,2018-02-13,20:45,Juventus,2–2,Tottenham,"41,232",Allianz Stadium,Felix Brych,Match Report,Leg 1 of 2
2017-2018,Round of 16,Tue,2018-02-13,20:45,Baselch,0–4,Manchester City,"36,000",St. Jakob-Park,Jonas Eriksson,Match Report,Leg 1 of 2
2017-2018,Round of 16,Wed,2018-02-14,19:45,Porto,0–5,Liverpool,"47,718",Estádio Do Dragão,Daniele Orsato,Match Report,Leg 1 of 2
2017-2018,Round of 16,Wed,2018-02-14,20:45,Real Madrid,3–1,Paris S-G,"78,158",Estadio Ramón Sánchez Pizjuán,Gianluca Rocchi,Match Report,Leg 1 of 2
2017-2018,Round of 16,Tue,2018-02-20,19:45,Chelsea,1–1,Barcelona,"37,741",Stamford Bridge,Cüneyt Çakιr,Match Report,Leg 1 of 2
2017-2018,Round of 16,Tue,2018-02-20,20:45,Bayern Munich,5–0,trBeşiktaş,"70,000",Allianz Arena,Ovidiu Hațegan,Match Report,Leg 1 of 2
2017-2018,Round of 16,Wed,2018-02-21,20:45,Sevilla,0–0,Manchester Utd,"39,725",Estadio Ramón Sánchez Pizjuán,Clément Turpin,Match Report,Leg 1 of 2
2017-2018,Round of 16,Wed,2018-02-21,21:45,Shakhtarua,2–1,Roma,"35,124",Oblasny SportKomplex Metalist,William Collum,Match Report,Leg 1 of 2
2017-2018,Round of 16,Tue,2018-03-06,19:45,Liverpool,0–0,Porto,"48,768",Anfield,Felix Zwayer,Match Report,Leg 2 of 2; Liverpool won
2017-2018,Round of 16,Tue,2018-03-06,20:45,Paris S-G,1–2,Real Madrid,"46,585",Parc des Princes,Felix Brych,Match Report,Leg 2 of 2; Real Madrid won
2017-2018,Round of 16,Wed,2018-03-07,19:45,Manchester City,1–2,chBasel,"49,411",Etihad Stadium,Pavel Královec,Match Report,Leg 2 of 2; Manchester City won
2017-2018,Round of 16,Wed,2018-03-07,19:45,Tottenham,1–2,Juventus,"84,010",Wembley Stadium,Szymon Marciniak,Match Report,Leg 2 of 2; Juventus won
2017-2018,Round of 16,Tue,2018-03-13,19:45,Manchester Utd,1–2,Sevilla,"74,909",Old Trafford,Danny Makkelie,Match Report,Leg 2 of 2; Sevilla won
2017-2018,Round of 16,Tue,2018-03-13,20:45,Roma,1–0,uaShakhtar,"47,693",Stadio Olimpico,Alberto Undiano,Match Report,Leg 2 of 2; Roma won
2017-2018,Round of 16,Wed,2018-03-14,20:00,Beşiktaştr,1–3,Bayern Munich,"36,885",Vodafone Arena,Michael Oliver,Match Report,Leg 2 of 2; Bayern Munich won
2017-2018,Round of 16,Wed,2018-03-14,20:45,Barcelona,3–0,Chelsea,"97,183",Camp Nou,Damir Skomina,Match Report,Leg 2 of 2; Barcelona won
2017-2018,Quarter-finals,Tue,2018-04-03,20:45,Sevilla,1–2,Bayern Munich,"40,635",Estadio Ramón Sánchez Pizjuán,Daniele Orsato,Match Report,Leg 1 of 2
2017-2018,Quarter-finals,Tue,2018-04-03,20:45,Juventus,0–3,Real Madrid,"40,849",Allianz Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
2017-2018,Quarter-finals,Wed,2018-04-04,19:45,Liverpool,3–0,Manchester City,"50,685",Anfield,Felix Brych,Match Report,Leg 1 of 2
2017-2018,Quarter-finals,Wed,2018-04-04,20:45,Barcelona,4–1,Roma,"90,106",Camp Nou,Danny Makkelie,Match Report,Leg 1 of 2
2017-2018,Quarter-finals,Tue,2018-04-10,19:45,Manchester City,1–2,Liverpool,"53,461",Etihad Stadium,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Liverpool won
2017-2018,Quarter-finals,Tue,2018-04-10,20:45,Roma,3–0,Barcelona,"56,580",Stadio Olimpico,Clément Turpin,Match Report,Leg 2 of 2; Roma won
2017-2018,Quarter-finals,Wed,2018-04-11,20:45,Bayern Munich,0–0,Sevilla,"70,000",Allianz Arena,William Collum,Match Report,Leg 2 of 2; Bayern Munich won
2017-2018,Quarter-finals,Wed,2018-04-11,20:45,Real Madrid,1–3,Juventus,"75,796",Estadio Santiago Bernabéu,Michael Oliver,Match Report,Leg 2 of 2; Real Madrid won
2017-2018,Semi-finals,Tue,2018-04-24,19:45,Liverpool,5–2,Roma,"51,236",Anfield,Felix Brych,Match Report,Leg 1 of 2
2017-2018,Semi-finals,Wed,2018-04-25,20:45,Bayern Munich,1–2,Real Madrid,"70,000",Allianz Arena,Björn Kuipers,Match Report,Leg 1 of 2
2017-2018,Semi-finals,Tue,2018-05-01,20:45,Real Madrid,2–2,Bayern Munich,"77,459",Estadio Santiago Bernabéu,Cüneyt Çakιr,Match Report,Leg 2 of 2; Real Madrid won
2017-2018,Semi-finals,Wed,2018-05-02,20:45,Roma,4–2,Liverpool,"61,889",Stadio Olimpico,Damir Skomina,Match Report,Leg 2 of 2; Liverpool won
2017-2018,Final,Sat,2018-05-26,21:45,Real Madrid,3–1,Liverpool,"61,561",NSK Olimpijs'kyj (Neutral Site),Milorad Mažić,Match Report,
2018-2019,Round of 16,Tue,2019-02-12,20:00,Manchester Utd,0–2,Paris S-G,"74,054",Old Trafford,Daniele Orsato,Match Report,Leg 1 of 2
2018-2019,Round of 16,Tue,2019-02-12,21:00,Roma,2–1,Porto,"51,727",Stadio Olimpico,Jochem Kamphuis,Match Report,Leg 1 of 2
2018-2019,Round of 16,Wed,2019-02-13,20:00,Tottenham,3–0,Dortmund,"71,214",Wembley Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2018-2019,Round of 16,Wed,2019-02-13,21:00,Ajaxnl,1–2,Real Madrid,"52,286",Johan Cruyff ArenA,Szymon Marciniak,Match Report,Leg 1 of 2
2018-2019,Round of 16,Tue,2019-02-19,20:00,Liverpool,0–0,Bayern Munich,"52,250",Anfield,Gianluca Rocchi,Match Report,Leg 1 of 2
2018-2019,Round of 16,Tue,2019-02-19,21:00,Lyon,0–0,Barcelona,"57,889",Groupama Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
2018-2019,Round of 16,Wed,2019-02-20,21:00,Schalke 04,2–3,Manchester City,"54,417",Veltins-Arena,Alejandro Hernández,Match Report,Leg 1 of 2
2018-2019,Round of 16,Wed,2019-02-20,21:00,Atlético Madrid,2–0,Juventus,"67,193",Estadio Wanda Metropolitano,Felix Zwayer,Match Report,Leg 1 of 2
2018-2019,Round of 16,Tue,2019-03-05,21:00,Real Madrid,1–4,nlAjax,"77,013",Estadio Santiago Bernabéu,Felix Brych,Match Report,Leg 2 of 2; Ajax won
2018-2019,Round of 16,Tue,2019-03-05,21:00,Dortmund,0–1,Tottenham,"66,099",Signal Iduna Park,Danny Makkelie,Match Report,Leg 2 of 2; Tottenham won
2018-2019,Round of 16,Wed,2019-03-06,20:00,Porto,3–1,Roma,"49,029",Estádio Do Dragão,Paweł Gil,Match Report,Leg 2 of 2; Porto won; Required Extra Time
2018-2019,Round of 16,Wed,2019-03-06,21:00,Paris S-G,1–3,Manchester Utd,"47,441",Parc des Princes,Damir Skomina,Match Report,Leg 2 of 2; Manchester Utd won
2018-2019,Round of 16,Tue,2019-03-12,20:00,Manchester City,7–0,Schalke 04,"51,518",Etihad Stadium,Clément Turpin,Match Report,Leg 2 of 2; Manchester City won
2018-2019,Round of 16,Tue,2019-03-12,21:00,Juventus,3–0,Atlético Madrid,"40,884",Allianz Stadium,Björn Kuipers,Match Report,Leg 2 of 2; Juventus won
2018-2019,Round of 16,Wed,2019-03-13,21:00,Bayern Munich,1–3,Liverpool,"68,145",Allianz Arena,Daniele Orsato,Match Report,Leg 2 of 2; Liverpool won
2018-2019,Round of 16,Wed,2019-03-13,21:00,Barcelona,5–1,Lyon,"92,346",Camp Nou,Szymon Marciniak,Match Report,Leg 2 of 2; Barcelona won
2018-2019,Quarter-finals,Tue,2019-04-09,20:00,Tottenham,1–0,Manchester City,"60,044",Tottenham Hotspur Stadium,Björn Kuipers,Match Report,Leg 1 of 2
2018-2019,Quarter-finals,Tue,2019-04-09,20:00,Liverpool,2–0,Porto,"52,465",Anfield,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2018-2019,Quarter-finals,Wed,2019-04-10,20:00,Manchester Utd,0–1,Barcelona,"74,093",Old Trafford,Gianluca Rocchi,Match Report,Leg 1 of 2
2018-2019,Quarter-finals,Wed,2019-04-10,21:00,Ajaxnl,1–1,Juventus,"50,390",Johan Cruyff ArenA,Carlos del Cerro,Match Report,Leg 1 of 2
2018-2019,Quarter-finals,Tue,2019-04-16,21:00,Juventus,1–2,nlAjax,"41,445",Allianz Stadium,Clément Turpin,Match Report,Leg 2 of 2; Ajax won
2018-2019,Quarter-finals,Tue,2019-04-16,21:00,Barcelona,3–0,Manchester Utd,"96,708",Camp Nou,Felix Brych,Match Report,Leg 2 of 2; Barcelona won
2018-2019,Quarter-finals,Wed,2019-04-17,20:00,Manchester City,4–3,Tottenham,"53,348",Etihad Stadium,Cüneyt Çakιr,Match Report,Leg 2 of 2; Tottenham won
2018-2019,Quarter-finals,Wed,2019-04-17,20:00,Porto,1–4,Liverpool,"49,117",Estádio Do Dragão,Danny Makkelie,Match Report,Leg 2 of 2; Liverpool won
2018-2019,Semi-finals,Tue,2019-04-30,20:00,Tottenham,0–1,nlAjax,"60,243",Tottenham Hotspur Stadium,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2018-2019,Semi-finals,Wed,2019-05-01,21:00,Barcelona,3–0,Liverpool,"98,299",Camp Nou,Björn Kuipers,Match Report,Leg 1 of 2
2018-2019,Semi-finals,Tue,2019-05-07,20:00,Liverpool,4–0,Barcelona,"55,212",Anfield,Cüneyt Çakιr,Match Report,Leg 2 of 2; Liverpool won
2018-2019,Semi-finals,Wed,2019-05-08,21:00,Ajaxnl,2–3,Tottenham,"52,641",Johan Cruyff ArenA,Felix Brych,Match Report,Leg 2 of 2; Tottenham won
2018-2019,Final,Sat,2019-06-01,21:00,Tottenham,0–2,Liverpool,"63,272",Estadio Wanda Metropolitano (Neutral Site),Damir Skomina,Match Report,
2019-2020,Round of 16,Tue,2020-02-18,21:00,Atlético Madrid,1–0,Liverpool,"67,443",Estadio Wanda Metropolitano,Szymon Marciniak,Match Report,Leg 1 of 2
2019-2020,Round of 16,Tue,2020-02-18,21:00,Dortmund,2–1,Paris S-G,"66,099",Signal Iduna Park,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2019-2020,Round of 16,Wed,2020-02-19,20:00,Tottenham,0–1,RB Leipzig,"60,095",Tottenham Hotspur Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
2019-2020,Round of 16,Wed,2020-02-19,21:00,Atalanta,4–1,Valencia,"44,236",Stadio Giuseppe Meazza,Michael Oliver,Match Report,Leg 1 of 2
2019-2020,Round of 16,Tue,2020-02-25,20:00,Chelsea,0–3,Bayern Munich,"36,761",Stamford Bridge,Clément Turpin,Match Report,Leg 1 of 2
2019-2020,Round of 16,Tue,2020-02-25,21:00,Napoli,1–1,Barcelona,"44,388",Stadio San Paolo,Felix Brych,Match Report,Leg 1 of 2
2019-2020,Round of 16,Wed,2020-02-26,21:00,Real Madrid,1–2,Manchester City,"75,615",Estadio Santiago Bernabéu,Daniele Orsato,Match Report,Leg 1 of 2
2019-2020,Round of 16,Wed,2020-02-26,21:00,Lyon,1–0,Juventus,"57,335",Groupama Stadium,Jesús Gil,Match Report,Leg 1 of 2
2019-2020,Round of 16,Tue,2020-03-10,21:00,Valencia,3–4,Atalanta,,Estadio de Mestalla,Ovidiu Hațegan,Match Report,Leg 2 of 2; Atalanta won
2019-2020,Round of 16,Tue,2020-03-10,21:00,RB Leipzig,3–0,Tottenham,"42,146",Red Bull Arena,Carlos del Cerro,Match Report,Leg 2 of 2; RB Leipzig won
2019-2020,Round of 16,Wed,2020-03-11,20:00,Liverpool,2–3,Atlético Madrid,"52,267",Anfield,Danny Makkelie,Match Report,Leg 2 of 2; Atlético Madrid won; Required Extra Time
2019-2020,Round of 16,Wed,2020-03-11,21:00,Paris S-G,2–0,Dortmund,,Parc des Princes,Anthony Taylor,Match Report,Leg 2 of 2; Paris S-G won
2019-2020,Round of 16,Fri,2020-08-07,20:00,Manchester City,2–1,Real Madrid,,Etihad Stadium,Felix Brych,Match Report,Leg 2 of 2; Manchester City won
2019-2020,Round of 16,Fri,2020-08-07,21:00,Juventus,2–1,Lyon,,Allianz Stadium,Felix Zwayer,Match Report,Leg 2 of 2; Lyon won
2019-2020,Round of 16,Sat,2020-08-08,21:00,Barcelona,3–1,Napoli,,Camp Nou,Cüneyt Çakιr,Match Report,Leg 2 of 2; Barcelona won
2019-2020,Round of 16,Sat,2020-08-08,21:00,Bayern Munich,4–1,Chelsea,,Allianz Arena,Ovidiu Hațegan,Match Report,Leg 2 of 2; Bayern Munich won
2019-2020,Quarter-finals,Wed,2020-08-12,21:00,Atalanta,1–2,Paris S-G,,Estádio do Sport Lisboa e Benfica (Neutral Site),Anthony Taylor,Match Report,
2019-2020,Quarter-finals,Thu,2020-08-13,21:00,RB Leipzig,2–1,Atlético Madrid,,Estádio José Alvalade (Neutral Site),Szymon Marciniak,Match Report,
2019-2020,Quarter-finals,Fri,2020-08-14,20:00,Barcelona,2–8,Bayern Munich,,Estádio do Sport Lisboa e Benfica (Neutral Site),Damir Skomina,Match Report,
2019-2020,Quarter-finals,Sat,2020-08-15,20:00,Manchester City,1–3,Lyon,,Estádio José Alvalade (Neutral Site),Danny Makkelie,Match Report,
2019-2020,Semi-finals,Tue,2020-08-18,20:00,RB Leipzig,0–3,Paris S-G,,Estádio do Sport Lisboa e Benfica (Neutral Site),Björn Kuipers,Match Report,
2019-2020,Semi-finals,Wed,2020-08-19,20:00,Lyon,0–3,Bayern Munich,,Estádio José Alvalade (Neutral Site),Antonio Matéu Lahoz,Match Report,
2019-2020,Final,Sun,2020-08-23,20:00,Paris S-G,0–1,Bayern Munich,,Estádio do Sport Lisboa e Benfica (Neutral Site),Daniele Orsato,Match Report,
2020-2021,Round of 16,Tue,2021-02-16,21:00,RB Leipzig,0–2,Liverpool,,Puskás Aréna (Neutral Site),Slavko Vinčič,Match Report,Leg 1 of 2
2020-2021,Round of 16,Tue,2021-02-16,21:00,Barcelona,1–4,Paris S-G,,Camp Nou,Björn Kuipers,Match Report,Leg 1 of 2
2020-2021,Round of 16,Wed,2021-02-17,20:00,Porto,2–1,Juventus,,Estádio Do Dragão,Carlos del Cerro,Match Report,Leg 1 of 2
2020-2021,Round of 16,Wed,2021-02-17,21:00,Sevilla,2–3,Dortmund,,Estadio Ramón Sánchez Pizjuán,Danny Makkelie,Match Report,Leg 1 of 2
2020-2021,Round of 16,Tue,2021-02-23,21:00,Lazio,1–4,Bayern Munich,,Stadio Olimpico,Orel Grinfeeld,Match Report,Leg 1 of 2
2020-2021,Round of 16,Tue,2021-02-23,21:00,Atlético Madrid,0–1,Chelsea,,Arena Naţională (Neutral Site),Felix Brych,Match Report,Leg 1 of 2
2020-2021,Round of 16,Wed,2021-02-24,21:00,M'Gladbach,0–2,Manchester City,,Puskás Aréna (Neutral Site),Artur Soares Dias,Match Report,Leg 1 of 2
2020-2021,Round of 16,Wed,2021-02-24,21:00,Atalanta,0–1,Real Madrid,,Stadio Atleti Azzurri d'Italia,Tobias Stieler,Match Report,Leg 1 of 2
2020-2021,Round of 16,Tue,2021-03-09,21:00,Dortmund,2–2,Sevilla,,Fußballpark BVB Hohenbuschei,Cüneyt Çakιr,Match Report,Leg 2 of 2; Dortmund won
2020-2021,Round of 16,Tue,2021-03-09,21:00,Juventus,3–2,Porto,,Allianz Stadium,Björn Kuipers,Match Report,Leg 2 of 2; Porto won; Required Extra Time
2020-2021,Round of 16,Wed,2021-03-10,20:00,Liverpool,2–0,RB Leipzig,,Puskás Aréna (Neutral Site),Clément Turpin,Match Report,Leg 2 of 2; Liverpool won
2020-2021,Round of 16,Wed,2021-03-10,21:00,Paris S-G,1–1,Barcelona,,Parc des Princes,Anthony Taylor,Match Report,Leg 2 of 2; Paris S-G won
2020-2021,Round of 16,Tue,2021-03-16,20:00,Manchester City,2–0,M'Gladbach,,Puskás Aréna (Neutral Site),Sergey Karasev,Match Report,Leg 2 of 2; Manchester City won
2020-2021,Round of 16,Tue,2021-03-16,21:00,Real Madrid,3–1,Atalanta,,Estadio Alfredo Di Stéfano,Danny Makkelie,Match Report,Leg 2 of 2; Real Madrid won
2020-2021,Round of 16,Wed,2021-03-17,20:00,Chelsea,2–0,Atlético Madrid,,Stamford Bridge,Daniele Orsato,Match Report,Leg 2 of 2; Chelsea won
2020-2021,Round of 16,Wed,2021-03-17,21:00,Bayern Munich,2–1,Lazio,,Allianz Arena,István Kovács,Match Report,Leg 2 of 2; Bayern Munich won
2020-2021,Quarter-finals,Tue,2021-04-06,20:00,Manchester City,2–1,Dortmund,,Etihad Stadium,Ovidiu Hațegan,Match Report,Leg 1 of 2
2020-2021,Quarter-finals,Tue,2021-04-06,21:00,Real Madrid,3–1,Liverpool,,Estadio Alfredo Di Stéfano,Felix Brych,Match Report,Leg 1 of 2
2020-2021,Quarter-finals,Wed,2021-04-07,20:00,Porto,0–2,Chelsea,,Estadio Ramón Sánchez Pizjuán (Neutral Site),Slavko Vinčič,Match Report,Leg 1 of 2
2020-2021,Quarter-finals,Wed,2021-04-07,21:00,Bayern Munich,2–3,Paris S-G,,Allianz Arena,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
2020-2021,Quarter-finals,Tue,2021-04-13,20:00,Chelsea,0–1,Porto,,Estadio Ramón Sánchez Pizjuán (Neutral Site),Clément Turpin,Match Report,Leg 2 of 2; Chelsea won
2020-2021,Quarter-finals,Tue,2021-04-13,21:00,Paris S-G,0–1,Bayern Munich,,Parc des Princes,Daniele Orsato,Match Report,Leg 2 of 2; Paris S-G won
2020-2021,Quarter-finals,Wed,2021-04-14,20:00,Liverpool,0–0,Real Madrid,,Anfield,Björn Kuipers,Match Report,Leg 2 of 2; Real Madrid won
2020-2021,Quarter-finals,Wed,2021-04-14,21:00,Dortmund,1–2,Manchester City,,Signal Iduna Park,Carlos del Cerro,Match Report,Leg 2 of 2; Manchester City won
2020-2021,Semi-finals,Tue,2021-04-27,21:00,Real Madrid,1–1,Chelsea,,Estadio Alfredo Di Stéfano,Danny Makkelie,Match Report,Leg 1 of 2
2020-2021,Semi-finals,Wed,2021-04-28,21:00,Paris S-G,1–2,Manchester City,,Parc des Princes,Felix Brych,Match Report,Leg 1 of 2
2020-2021,Semi-finals,Tue,2021-05-04,20:00,Manchester City,2–0,Paris S-G,,Etihad Stadium,Björn Kuipers,Match Report,Leg 2 of 2; Manchester City won
2020-2021,Semi-finals,Wed,2021-05-05,20:00,Chelsea,2–0,Real Madrid,,Stamford Bridge,Daniele Orsato,Match Report,Leg 2 of 2; Chelsea won
2020-2021,Final,Sat,2021-05-29,22:00,Manchester City,0–1,Chelsea,"14,110",Estádio Do Dragão (Neutral Site),Antonio Matéu Lahoz,Match Report,
2021-2022,Round of 16,Tue,2022-02-15,20:00,Sporting CP,0–5,Manchester City,"48,129",Estádio José Alvalade,Srdjan Stojanovic,Match Report,Leg 1 of 2
2021-2022,Round of 16,Tue,2022-02-15,21:00,Paris S-G,1–0,Real Madrid,"47,443",Parc des Princes,Daniele Orsato,Match Report,Leg 1 of 2
2021-2022,Round of 16,Wed,2022-02-16,21:00,Inter,0–2,Liverpool,"37,918",Stadio Giuseppe Meazza,Szymon Marciniak,Match Report,Leg 1 of 2
2021-2022,Round of 16,Wed,2022-02-16,21:00,RB Salzburgat,1–1,Bayern Munich,"29,520",Red Bull Arena,Michael Oliver,Match Report,Leg 1 of 2
2021-2022,Round of 16,Tue,2022-02-22,20:00,Chelsea,2–0,Lille,"38,832",Stamford Bridge,Jesús Gil,Match Report,Leg 1 of 2
2021-2022,Round of 16,Tue,2022-02-22,21:00,Villarreal,1–1,Juventus,"17,686",Estadio de la Cerámica,Daniel Siebert,Match Report,Leg 1 of 2
2021-2022,Round of 16,Wed,2022-02-23,20:00,Benfica,2–2,nlAjax,"54,760",Estádio do Sport Lisboa e Benfica,Slavko Vinčič,Match Report,Leg 1 of 2
2021-2022,Round of 16,Wed,2022-02-23,21:00,Atlético Madrid,1–1,Manchester Utd,"63,273",Estadio Wanda Metropolitano,Ovidiu Hațegan,Match Report,Leg 1 of 2
2021-2022,Round of 16,Tue,2022-03-08,20:00,Liverpool,0–1,Inter,"51,747",Anfield,Antonio Matéu Lahoz,Match Report,Leg 2 of 2; Liverpool won
