Season,Round,Day,Date,Home,Score,Away,Venue,Referee
2019-2020,Round of 16,Wed,2020-02-26,Lyon,1-0,Juventus,Groupama Stadium,Jesús Gil
2019-2020,Round of 16,Tue,2020-03-10,Valencia,3-4,Atalanta,Estadio de Mestalla,Ovidiu Hațegan
2019-2020,Round of 16,Tue,2020-03-10,RB Leipzig,3-0,Tottenham,Red Bull Arena,Carlos del Cerro
2019-2020,Round of 16,Wed,2020-03-11,Liverpool,2-3,Atlético Madrid,Anfield,Danny Makkelie
2019-2020,Round of 16,Wed,2020-03-11,Paris S-G,2-0,Dortmund,Parc des Princes,Anthony Taylor
2019-2020,Round of 16,Fri,2020-08-07,Manchester City,2-1,Real Madrid,Etihad Stadium,Felix Brych
2019-2020,Round of 16,Fri,2020-08-07,Juventus,2-1,Lyon,Allianz Stadium,Felix Zwayer
2019-2020,Round of 16,Sat,2020-08-08,Barcelona,3-1,Napoli,Camp Nou,Cüneyt Çakιr
2019-2020,Round of 16,Sat,2020-08-08,Bayern Munich,4-1,Chelsea,Allianz Arena,Ovidiu Hațegan
2019-2020,Quarter-finals,Wed,2020-08-12,Atalanta,1-2,Paris S-G,Estádio do Sport Lisboa e Benfica (Neutral Site),Anthony Taylor
2019-2020,Quarter-finals,Thu,2020-08-13,RB Leipzig,2-1,Atlético Madrid,Estádio José Alvalade (Neutral Site),Szymon Marciniak
2019-2020,Quarter-finals,Fri,2020-08-14,Barcelona,2-8,Bayern Munich,Estádio do Sport Lisboa e Benfica (Neutral Site),Damir Skomina
2019-2020,Quarter-finals,Sat,2020-08-15,Manchester City,1-3,Lyon,Estádio José Alvalade (Neutral Site),Danny Makkelie
2019-2020,Semi-finals,Tue,2020-08-18,RB Leipzig,0-3,Paris S-G,Estádio do Sport Lisboa e Benfica (Neutral Site),Björn Kuipers
2019-2020,Semi-finals,Wed,2020-08-19,Lyon,0-3,Bayern Munich,Estádio José Alvalade (Neutral Site),Antonio Matéu Lahoz
2019-2020,Final,Sun,2020-08-23,Paris S-G,0-1,Bayern Munich,Estádio do Sport Lisboa e Benfica (Neutral Site),Daniele Orsato
2018-2019,Round of 16,Tue,2019-02-12,Manchester Utd,0-2,Paris S-G,Old Trafford,Daniele Orsato
2018-2019,Round of 16,Tue,2019-02-12,Roma,2-1,Porto,Stadio Olimpico,Jochem Kamphuis
2018-2019,Round of 16,Wed,2019-02-13,Tottenham,3-0,Dortmund,Wembley Stadium,Antonio Matéu Lahoz
2018-2019,Round of 16,Wed,2019-02-13,Ajax,1-2,Real Madrid,Johan Cruyff ArenA,Szymon Marciniak
2018-2019,Round of 16,Tue,2019-02-19,Liverpool,0-0,Bayern Munich,Anfield,Gianluca Rocchi
2018-2019,Round of 16,Tue,2019-02-19,Lyon,0-0,Barcelona,Groupama Stadium,Cüneyt Çakιr
2018-2019,Round of 16,Wed,2019-02-20,Schalke 04,2-3,Manchester City,Veltins-Arena,Alejandro Hernández
2018-2019,Round of 16,Wed,2019-02-20,Atlético Madrid,2-0,Juventus,Estadio Wanda Metropolitano,Felix Zwayer
2018-2019,Round of 16,Tue,2019-03-05,Real Madrid,1-4,Ajax,Estadio Santiago Bernabéu,Felix Brych
2018-2019,Round of 16,Tue,2019-03-05,Dortmund,0-1,Tottenham,Signal Iduna Park,Danny Makkelie
2018-2019,Round of 16,Wed,2019-03-06,Porto,3-1,Roma,Estádio Do Dragão,Paweł Gil
2018-2019,Round of 16,Wed,2019-03-06,Paris S-G,1-3,Manchester Utd,Parc des Princes,Damir Skomina
2018-2019,Round of 16,Tue,2019-03-12,Manchester City,7-0,Schalke 04,Etihad Stadium,Clément Turpin
2018-2019,Round of 16,Tue,2019-03-12,Juventus,3-0,Atlético Madrid,Allianz Stadium,Björn Kuipers
2018-2019,Round of 16,Wed,2019-03-13,Bayern Munich,1-3,Liverpool,Allianz Arena,Daniele Orsato
2018-2019,Round of 16,Wed,2019-03-13,Barcelona,5-1,Lyon,Camp Nou,Szymon Marciniak
2018-2019,Quarter-finals,Tue,2019-04-09,Tottenham,1-0,Manchester City,Tottenham Hotspur Stadium,Björn Kuipers
2018-2019,Quarter-finals,Tue,2019-04-09,Liverpool,2-0,Porto,Anfield,Antonio Matéu Lahoz
2018-2019,Quarter-finals,Wed,2019-04-10,Manchester Utd,0-1,Barcelona,Old Trafford,Gianluca Rocchi
2018-2019,Quarter-finals,Wed,2019-04-10,Ajax,1-1,Juventus,Johan Cruyff ArenA,Carlos del Cerro
2018-2019,Quarter-finals,Tue,2019-04-16,Juventus,1-2,Ajax,Allianz Stadium,Clément Turpin
2018-2019,Quarter-finals,Tue,2019-04-16,Barcelona,3-0,Manchester Utd,Camp Nou,Felix Brych
2018-2019,Quarter-finals,Wed,2019-04-17,Manchester City,4-3,Tottenham,Etihad Stadium,Cüneyt Çakιr
2018-2019,Quarter-finals,Wed,2019-04-17,Porto,1-4,Liverpool,Estádio Do Dragão,Danny Makkelie
2018-2019,Semi-finals,Tue,2019-04-30,Tottenham,0-1,Ajax,Tottenham Hotspur Stadium,Antonio Matéu Lahoz
2018-2019,Semi-finals,Wed,2019-05-01,Barcelona,3-0,Liverpool,Camp Nou,Björn Kuipers
2018-2019,Semi-finals,Tue,2019-05-07,Liverpool,4-0,Barcelona,Anfield,Cüneyt Çakιr
2018-2019,Semi-finals,Wed,2019-05-08,Ajax,2-3,Tottenham,Johan Cruyff ArenA,Felix Brych
2018-2019,Final,Sat,2019-06-01,Tottenham,0-2,Liverpool,Estadio Wanda Metropolitano (Neutral Site),Damir Skomina
2017-2018,Round of 16,Tue,2018-02-13,Juventus,2-2,Tottenham,Allianz Stadium,Felix Brych
2017-2018,Round of 16,Tue,2018-02-13,Basel,0-4,Manchester City,St. Jakob-Park,Jonas Eriksson
2017-2018,Round of 16,Wed,2018-02-14,Porto,0-5,Liverpool,Estádio Do Dragão,Daniele Orsato
2017-2018,Round of 16,Wed,2018-02-14,Real Madrid,3-1,Paris S-G,Estadio Ramón Sánchez Pizjuán,Gianluca Rocchi
2017-2018,Round of 16,Tue,2018-02-20,Chelsea,1-1,Barcelona,Stamford Bridge,Cüneyt Çakιr
2017-2018,Round of 16,Tue,2018-02-20,Bayern Munich,5-0,Beşiktaş,Allianz Arena,Ovidiu Hațegan
2017-2018,Round of 16,Wed,2018-02-21,Sevilla,0-0,Manchester Utd,Estadio Ramón Sánchez Pizjuán,Clément Turpin
2017-2018,Round of 16,Wed,2018-02-21,Shakhtar,2-1,Roma,Oblasny SportKomplex Metalist,William Collum
2017-2018,Round of 16,Tue,2018-03-06,Liverpool,0-0,Porto,Anfield,Felix Zwayer
2017-2018,Round of 16,Tue,2018-03-06,Paris S-G,1-2,Real Madrid,Parc des Princes,Felix Brych
2017-2018,Round of 16,Wed,2018-03-07,Manchester City,1-2,Basel,Etihad Stadium,Pavel Královec
2017-2018,Round of 16,Wed,2018-03-07,Tottenham,1-2,Juventus,Wembley Stadium,Szymon Marciniak
