Season,Round,Day,Date,Home,Score,Away,Venue,Referee
2007-2008,Semi-finals,Tue,2008-04-22,Liverpool,1-1,Chelsea,Anfield,Konrad Plautz
2007-2008,Semi-finals,Wed,2008-04-23,Barcelona,0-0,Manchester Utd,Camp Nou,Massimo Busacca
2007-2008,Semi-finals,Tue,2008-04-29,Manchester Utd,1-0,Barcelona,Old Trafford,Herbert Fandel
2007-2008,Semi-finals,Wed,2008-04-30,Chelsea,3-2,Liverpool,Stamford Bridge,Roberto Rosetti
2007-2008,Final,Wed,2008-05-21,Manchester Utd,1-1,Chelsea,Stadion Luzhniki (Neutral Site),Ľuboš Michel
2006-2007,Round of 16,Tue,2007-02-20,Lille,0-1,Manchester Utd,Stade Félix,Eric Braamhaar
2006-2007,Round of 16,Tue,2007-02-20,Real Madrid,3-2,Bayern Munich,Estadio Santiago Bernabéu,Frank de Bleeckere
2006-2007,Round of 16,Tue,2007-02-20,Celtic,0-0,Milan,Celtic Park,Terje Hauge
2006-2007,Round of 16,Tue,2007-02-20,PSV Eindhoven,1-0,Arsenal,PSV Stadion,Tom Henning Øvrebø
2006-2007,Round of 16,Wed,2007-02-21,Porto,1-1,Chelsea,Estádio do Dragão,Massimo Busacca
2006-2007,Round of 16,Wed,2007-02-21,Barcelona,1-2,Liverpool,Camp Nou,Kyros Vassaras
2006-2007,Round of 16,Wed,2007-02-21,Roma,0-0,Lyon,Stadio Olimpico,Mike Riley
2006-2007,Round of 16,Wed,2007-02-21,Inter,2-2,Valencia,Stadio Giuseppe Meazza,Martin Hansson
2006-2007,Round of 16,Tue,2007-03-06,Chelsea,2-1,Porto,Stamford Bridge,Roberto Rosetti
2006-2007,Round of 16,Tue,2007-03-06,Liverpool,0-1,Barcelona,Anfield,Herbert Fandel
2006-2007,Round of 16,Tue,2007-03-06,Valencia,0-0,Inter,Estadi de Mestalla,Wolfgang Stark
2006-2007,Round of 16,Tue,2007-03-06,Lyon,0-2,Roma,Stade de Gerland,Mejuto González
2006-2007,Round of 16,Wed,2007-03-07,Manchester Utd,1-0,Lille,Old Trafford,Medina Cantalejo
2006-2007,Round of 16,Wed,2007-03-07,Arsenal,1-1,PSV Eindhoven,Arsenal Stadium,Alain Hamer
2006-2007,Round of 16,Wed,2007-03-07,Bayern Munich,2-1,Real Madrid,Fußball Arena München,Ľuboš Michel
2006-2007,Round of 16,Wed,2007-03-07,Milan,1-0,Celtic,Stadio Giuseppe Meazza,Konrad Plautz
2006-2007,Quarter-finals,Tue,2007-04-03,Milan,2-2,Bayern Munich,Stadio Giuseppe Meazza,Iouri Baskakov
2006-2007,Quarter-finals,Tue,2007-04-03,PSV Eindhoven,0-3,Liverpool,PSV Stadion,Bertrand Layec
2006-2007,Quarter-finals,Wed,2007-04-04,Chelsea,1-1,Valencia,Stamford Bridge,Frank de Bleeckere
2006-2007,Quarter-finals,Wed,2007-04-04,Roma,2-1,Manchester Utd,Stadio Olimpico,Herbert Fandel
2006-2007,Quarter-finals,Tue,2007-04-10,Manchester Utd,7-1,Roma,Old Trafford,Ľuboš Michel
2006-2007,Quarter-finals,Tue,2007-04-10,Valencia,1-2,Chelsea,Estadi de Mestalla,Kyros Vassaras
2006-2007,Quarter-finals,Wed,2007-04-11,Bayern Munich,0-2,Milan,Fußball Arena München,Mejuto González
2006-2007,Quarter-finals,Wed,2007-04-11,Liverpool,1-0,PSV Eindhoven,Anfield,Roberto Rosetti
2006-2007,Semi-finals,Tue,2007-04-24,Manchester Utd,3-2,Milan,Old Trafford,Kyros Vassaras
2006-2007,Semi-finals,Wed,2007-04-25,Chelsea,1-0,Liverpool,Stamford Bridge,Markus Merk
2006-2007,Semi-finals,Tue,2007-05-01,Liverpool,1-0,Chelsea,Anfield,Mejuto González
2006-2007,Semi-finals,Wed,2007-05-02,Milan,3-0,Manchester Utd,Stadio Giuseppe Meazza,Frank de Bleeckere
2006-2007,Final,Wed,2007-05-23,Milan,2-1,Liverpool,OAKA Spiros Louis (Neutral Site),Herbert Fandel
2005-2006,Round of 16,Tue,2006-02-21,Benfica,1-0,Liverpool,Estádio do Sport Lisboa e Benfica,Konrad Plautz
2005-2006,Round of 16,Tue,2006-02-21,Real Madrid,0-1,Arsenal,Estadio Santiago Bernabéu,Stefano Farina
2005-2006,Round of 16,Tue,2006-02-21,Bayern Munich,1-1,Milan,Fußball Arena München,Frank de Bleeckere
2005-2006,Round of 16,Tue,2006-02-21,PSV Eindhoven,0-1,Lyon,PSV Stadion,Kyros Vassaras
2005-2006,Round of 16,Wed,2006-02-22,Ajax,2-2,Inter,Amsterdam ArenA,Wolfgang Stark
2005-2006,Round of 16,Wed,2006-02-22,Rangers,2-2,Villarreal,Ibrox Stadium,Éric Poulat
2005-2006,Round of 16,Wed,2006-02-22,Chelsea,1-2,Barcelona,Stamford Bridge,Terje Hauge
2005-2006,Round of 16,Wed,2006-02-22,Werder Bremen,3-2,Juventus,Weserstadion,Mejuto González
2005-2006,Round of 16,Tue,2006-03-07,Barcelona,1-1,Chelsea,Camp Nou,Markus Merk
2005-2006,Round of 16,Tue,2006-03-07,Juventus,2-1,Werder Bremen,Delle Alpi,Graham Poll
2005-2006,Round of 16,Tue,2006-03-07,Villarreal,1-1,Rangers,Estadio El Madrigal,Alain Hamer
2005-2006,Round of 16,Wed,2006-03-08,Arsenal,0-0,Real Madrid,Highbury,Ľuboš Michel
2005-2006,Round of 16,Wed,2006-03-08,Lyon,4-0,PSV Eindhoven,Stade de Gerland,Mike Riley
2005-2006,Round of 16,Wed,2006-03-08,Milan,4-1,Bayern Munich,Stadio Giuseppe Meazza,Valentin Ivanov
2005-2006,Round of 16,Wed,2006-03-08,Liverpool,0-2,Benfica,Anfield,Massimo De Santis
2005-2006,Round of 16,Tue,2006-03-14,Inter,1-0,Ajax,Stadio Giuseppe Meazza,Peter Fröjdfeldt
2005-2006,Quarter-finals,Tue,2006-03-28,Arsenal,2-0,Juventus,Highbury,Peter Fröjdfeldt
2005-2006,Quarter-finals,Tue,2006-03-28,Benfica,0-0,Barcelona,Estádio do Sport Lisboa e Benfica,Stephen Bennett
2005-2006,Quarter-finals,Wed,2006-03-29,Inter,2-1,Villarreal,Stadio Giuseppe Meazza,Alain Sars
2005-2006,Quarter-finals,Wed,2006-03-29,Lyon,0-0,Milan,Stade de Gerland,Konrad Plautz
2005-2006,Quarter-finals,Tue,2006-04-04,Villarreal,1-0,Inter,Estadio El Madrigal,Kyros Vassaras
2005-2006,Quarter-finals,Tue,2006-04-04,Milan,3-1,Lyon,Stadio Giuseppe Meazza,Terje Hauge
2005-2006,Quarter-finals,Wed,2006-04-05,Barcelona,2-0,Benfica,Camp Nou,Ľuboš Michel
2005-2006,Quarter-finals,Wed,2006-04-05,Juventus,0-0,Arsenal,Delle Alpi,Herbert Fandel
2005-2006,Semi-finals,Tue,2006-04-18,Milan,0-1,Barcelona,Stadio Giuseppe Meazza,Alain Sars
2005-2006,Semi-finals,Wed,2006-04-19,Arsenal,1-0,Villarreal,Highbury,Konrad Plautz
2005-2006,Semi-finals,Tue,2006-04-25,Villarreal,0-0,Arsenal,Estadio El Madrigal,Valentin Ivanov
2005-2006,Semi-finals,Wed,2006-04-26,Barcelona,0-0,Milan,Camp Nou,Markus Merk
2005-2006,Final,Wed,2006-05-17,Barcelona,2-1,Arsenal,Stade de France (Neutral Site),Terje Hauge
2004-2005,Round of 16,Tue,2005-02-22,Liverpool,3-1,Leverkusen,Anfield,Kyros Vassaras
2004-2005,Round of 16,Tue,2005-02-22,Real Madrid,1-0,Juventus,Estadio Santiago Bernabéu,Ľuboš Michel
2004-2005,Round of 16,Tue,2005-02-22,PSV Eindhoven,1-0,Monaco,PSV Stadion,Medina Cantalejo
2004-2005,Round of 16,Tue,2005-02-22,Bayern Munich,3-1,Arsenal,Olympiastadion,Kim Milton Nielsen
2004-2005,Round of 16,Wed,2005-02-23,Porto,1-1,Inter,Estádio do Dragão,Graham Poll
2004-2005,Round of 16,Wed,2005-02-23,Barcelona,2-1,Chelsea,Camp Nou,Anders Frisk
2004-2005,Round of 16,Wed,2005-02-23,Manchester Utd,0-1,Milan,Old Trafford,Mejuto González
2004-2005,Round of 16,Wed,2005-02-23,Werder Bremen,0-3,Lyon,Weserstadion,Frank de Bleeckere
2004-2005,Round of 16,Tue,2005-03-08,Milan,1-0,Manchester Utd,Stadio Giuseppe Meazza,Herbert Fandel
2004-2005,Round of 16,Tue,2005-03-08,Chelsea,4-2,Barcelona,Stamford Bridge,Pierluigi Collina
2004-2005,Round of 16,Tue,2005-03-08,Lyon,7-2,Werder Bremen,Stade de Gerland,Valentin Ivanov
2004-2005,Round of 16,Wed,2005-03-09,Arsenal,1-0,Bayern Munich,Highbury,Massimo De Santis
2004-2005,Round of 16,Wed,2005-03-09,Juventus,2-0,Real Madrid,Delle Alpi,Markus Merk
2004-2005,Round of 16,Wed,2005-03-09,Monaco,0-2,PSV Eindhoven,Stade Louis II,Stephen Bennett
2004-2005,Round of 16,Wed,2005-03-09,Leverkusen,1-3,Liverpool,BayArena,Alain Sars
2004-2005,Round of 16,Tue,2005-03-15,Inter,3-1,Porto,Stadio Giuseppe Meazza,Terje Hauge
2004-2005,Quarter-finals,Tue,2005-04-05,Lyon,1-1,PSV Eindhoven,Stade de Gerland,Pierluigi Collina
2004-2005,Quarter-finals,Tue,2005-04-05,Liverpool,2-1,Juventus,Anfield,Frank de Bleeckere
2004-2005,Quarter-finals,Wed,2005-04-06,Milan,2-0,Inter,Stadio Giuseppe Meazza,Alain Sars
2004-2005,Quarter-finals,Wed,2005-04-06,Chelsea,4-2,Bayern Munich,Stamford Bridge,René Temmink
2004-2005,Quarter-finals,Tue,2005-04-12,Bayern Munich,3-2,Chelsea,Olympiastadion,Mejuto González
2004-2005,Quarter-finals,Tue,2005-04-12,Inter,0-3,Milan,Stadio Giuseppe Meazza,Markus Merk
2004-2005,Quarter-finals,Wed,2005-04-13,Juventus,0-0,Liverpool,Delle Alpi,Valentin Ivanov
2004-2005,Quarter-finals,Wed,2005-04-13,PSV Eindhoven,1-1,Lyon,PSV Stadion,Kim Milton Nielsen
2004-2005,Semi-finals,Tue,2005-04-26,Milan,2-0,PSV Eindhoven,Stadio Giuseppe Meazza,Kyros Vassaras
2004-2005,Semi-finals,Wed,2005-04-27,Chelsea,0-0,Liverpool,Stamford Bridge,Alain Sars
2004-2005,Semi-finals,Tue,2005-05-03,Liverpool,1-0,Chelsea,Anfield,Ľuboš Michel
2004-2005,Semi-finals,Wed,2005-05-04,PSV Eindhoven,3-1,Milan,PSV Stadion,Terje Hauge
2004-2005,Final,Wed,2005-05-25,Milan,3-3,Liverpool,Atatürk Olimpiyat Stadium (Neutral Site),Mejuto González
2003-2004,Round of 16,Tue,2004-02-24,Celta Vigo,2-3,Arsenal,Balaídos,Anders Frisk
2003-2004,Round of 16,Tue,2004-02-24,Bayern Munich,1-1,Real Madrid,Olympiastadion,Terje Hauge
2003-2004,Round of 16,Tue,2004-02-24,Sparta Prague,0-0,Milan,Stadion Letná,Graham Poll
2003-2004,Round of 16,Tue,2004-02-24,Loko Moscow,2-1,Monaco,Stadion Lokomotiv,Mejuto González
2003-2004,Round of 16,Wed,2004-02-25,Porto,2-1,Manchester Utd,Estádio do Dragão,Herbert Fandel
2003-2004,Round of 16,Wed,2004-02-25,Real Sociedad,0-1,Lyon,Anoeta,Massimo De Santis
2003-2004,Round of 16,Wed,2004-02-25,Stuttgart,0-1,Chelsea,VfB Arena,Kyros Vassaras
2003-2004,Round of 16,Wed,2004-02-25,La Coruña,1-0,Juventus,Estadio Municipal de Riazor,Gilles Veissière
2003-2004,Round of 16,Tue,2004-03-09,Lyon,1-0,Real Sociedad,Stade de Gerland,Mike Riley
2003-2004,Round of 16,Tue,2004-03-09,Manchester Utd,1-1,Porto,Old Trafford,Valentin Ivanov
2003-2004,Round of 16,Tue,2004-03-09,Juventus,0-1,La Coruña,Delle Alpi,Ľuboš Michel
2003-2004,Round of 16,Tue,2004-03-09,Chelsea,0-0,Stuttgart,Stamford Bridge,Kim Milton Nielsen
2003-2004,Round of 16,Wed,2004-03-10,Arsenal,2-0,Celta Vigo,Highbury,Pierluigi Collina
2003-2004,Round of 16,Wed,2004-03-10,Milan,4-1,Sparta Prague,Stadio Giuseppe Meazza,Markus Merk
2003-2004,Round of 16,Wed,2004-03-10,Monaco,1-0,Loko Moscow,Stade Louis II,Lucílio Batista
2003-2004,Round of 16,Wed,2004-03-10,Real Madrid,1-0,Bayern Munich,Estadio Santiago Bernabéu,Urs Meier
2003-2004,Quarter-finals,Tue,2004-03-23,Porto,2-0,Lyon,Estádio do Dragão,Terje Hauge
2003-2004,Quarter-finals,Tue,2004-03-23,Milan,4-1,La Coruña,Stadio Giuseppe Meazza,Valentin Ivanov
2003-2004,Quarter-finals,Wed,2004-03-24,Chelsea,1-1,Arsenal,Stamford Bridge,Mejuto González
2003-2004,Quarter-finals,Wed,2004-03-24,Real Madrid,4-2,Monaco,Estadio Santiago Bernabéu,Ľuboš Michel
2003-2004,Quarter-finals,Tue,2004-04-06,Monaco,3-1,Real Madrid,Stade Louis II,Pierluigi Collina
2003-2004,Quarter-finals,Tue,2004-04-06,Arsenal,1-2,Chelsea,Highbury,Markus Merk
2003-2004,Quarter-finals,Wed,2004-04-07,Lyon,2-2,Porto,Stade de Gerland,Anders Frisk
2003-2004,Quarter-finals,Wed,2004-04-07,La Coruña,4-0,Milan,Estadio Municipal de Riazor,Urs Meier
2003-2004,Semi-finals,Tue,2004-04-20,Monaco,3-1,Chelsea,Stade Louis II,Urs Meier
2003-2004,Semi-finals,Wed,2004-04-21,Porto,0-0,La Coruña,Estádio do Dragão,Markus Merk
2003-2004,Semi-finals,Tue,2004-05-04,La Coruña,0-1,Porto,Estadio Municipal de Riazor,Pierluigi Collina
2003-2004,Semi-finals,Wed,2004-05-05,Chelsea,2-2,Monaco,Stamford Bridge,Anders Frisk
2003-2004,Final,Wed,2004-05-26,Monaco,0-3,Porto,Arena AufSchalke (Neutral Site),Kim Milton Nielsen
